,title,artist,album,genre,publisher,agency,pub_date,listeners,streams
0,미리 메리 크리스마스 (Feat. 천둥 of MBLAQ),아이유 (IU),REAL,전체 / 가요,카카오엔터테인먼트,카카오엔터테인먼트,2010.12.09,2069615,23697524
1,롤린 (Rollin'),브레이브걸스 (Brave girls),Rollin',댄스 / 가요,㈜음악형제들,브레이브엔터테인먼트 (BRAVE ENTERTAINMENT),2017.03.07,2178722,69771315
2,축가,전우성 (노을),"2018戀歌(연가), 6월의 고백 '축가'",발라드 / 가요,지니뮤직,더블킥엔터테인먼트,2018.06.08,573849,13658645
3,저녁 하늘,에일리 (Ailee),Invitation,락 / 가요,카카오엔터테인먼트,YMC엔터테인먼트㈜,2012.10.16,1380847,23512005
4,눈물 자국,김종국,러브 인 메모리 2 - 아빠의 노트,드라마 / OST,Sony Music,디지털씨앤엠,2014.03.10,48655,220744
5,오늘…그녀가,루그 (Lug),2008 Lug’s The Second Album,전체 / 가요,RIAK,오픈월드엔터테인먼트,2008.03.25,95907,1222047
6,향수,케이윌 & 전우성,이단옆차기 프로젝트 Vol.04,발라드 / 가요,카카오엔터테인먼트,더블킥엔터테인먼트,2013.12.17,263164,1789640
7,안녕,박혜경,Serahpim,전체 / 가요,Universal Music,Flat Be,2003.06.17,215404,1191441
8,FLY,SUPER JUNIOR-K.R.Y. (슈퍼주니어-K.R.Y.),FLY (Digital Single),락 / 가요,지니뮤직,Stone Music Entertainment,2011.04.15,8067,91910
9,하이힐,브레이브걸스 (Brave girls),HIGH HEELS,댄스 / 가요,㈜음악형제들,브레이브엔터테인먼트 (BRAVE ENTERTAINMENT),2016.06.27,385689,4608285
10,눈물아안녕 (아이비),Gayo Best,가요베스트 MR 46,발라드 / 가요,㈜다날엔터테인먼트,사운드섬,2014.01.08,1947,4623
11,이름,임재범,이름,발라드 / 가요,오감엔터테인먼트,씨앤티컴퍼니,2015.10.06,115052,950140
12,내 입술...따뜻한 커피처럼,샵 (S#arp),Flat Album,댄스 / 가요,RIAK,,2001.11.01,1034186,12042839
13,그 중에 그대를 만나,이선희,'SERENDIPITY' 30주년 기념앨범,발라드 / 가요,(주)후크엔터테인먼트,(주)후크엔터테인먼트,2014.03.25,1637625,24685497
14,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",양요섭 & 정은지,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",댄스 / 가요,카카오엔터테인먼트,"TOON STUDIO, 느을",2021.03.05,1480515,25561156
15,맨발의 청춘,벅 (Buck),맨발의 청춘,전체 / 가요,RIAK,,1997.01.10,444744,2858708
16,여자라서,아이유 (IU),로드넘버원 OST Part.3 (MBC 수목드라마),드라마 / OST,카카오엔터테인먼트,더그루브엔터테인먼트 (더그루브컴퍼니),2010.07.14,514848,3757259
17,살아서도.. 죽어서도..,Various Artists,바람의 나라 OST,전체 / 가요,RIAK,퀸즈벨,2008.10.15,127154,1016262
18,Give It 2 Me,신화,WE,댄스 / 가요,뮤직앤뉴,신화컴퍼니 (SHINHWA COMPANY),2015.02.26,39565,621499
19,바다 끝,최백호,불혹,발라드 / 가요,"지니뮤직, Stone Music Entertainment","최백호, 누플레이, 산타뮤직",2017.03.09,64010,572194
20,젊은 날의 초상,주영훈,Ballad Vol.1,발라드 / 가요,RIAK,,1996.11.01,6965,60559
21,동네한바퀴 (꽃다운나이) (Feat. 칸토 (트로이)),이선희,'SERENDIPITY' 30주년 기념앨범,발라드 / 가요,(주)후크엔터테인먼트,(주)후크엔터테인먼트,2014.03.25,86640,340909
22,U,백현 (BAEKHYUN),어느 날 우리 집 현관으로 멸망이 들어왔다 OST Part.3 (tvN 월화드라마),드라마 / OST,뮤직앤뉴,"뮤직앤뉴, 스튜디오앤뉴",2021.05.31,107979,1526671
23,넌 is 뭔들,마마무(Mamamoo),Melting,댄스 / 가요,"지니뮤직, Stone Music Entertainment","㈜RBW, Stone Music Entertainment",2016.02.26,1528352,26821721
24,Boo,아이유 (IU),Growing Up,전체 / 가요,카카오엔터테인먼트,카카오엔터테인먼트,2009.04.23,560716,3611245
25,다툼 (Feat. 40),제리케이 (Jerry.K),연애담 : 생각해 볼만한 사랑 이야기,랩/힙합 / 가요,주식회사 루미넌트엔터테인먼트,DAZE ALIVE,2012.02.03,18676,198204
