,title,artist
0,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유
1,롤린 (Rollin'),브레이브걸스
2,축가,전우성 (노을)
3,저녁하늘,에일리(AILEE)
4,눈물 자국,김종국
5,오늘 그녀가,루그
6,향수,"케이윌, 전우성 (노을)"
7,안녕,박혜경
8,Fly,SUPER JUNIOR-K.R.Y. (슈퍼주니어-K.R.Y.)
9,하이힐,브레이브걸스
10,눈물아 안녕,아이비
11,이름,임재범
12,내입술...따뜻한 커피처럼,샵
13,그 중에 그대를 만나,이선희
14,LOVE DAY,"양요섭, 정은지"
15,맨발의 청춘,벅
16,여자라서,아이유
17,살아서도.. 죽어서도..,휘성 (Realslow)
18,Give it 2 Me,신화
19,바다 끝,최백호
20,젊은 날의 초상,주영훈
21,동네한바퀴 (꽃다운나이) (Feat. 칸토 (트로이)),이선희
22,U & I,에일리(AILEE)
23,넌 is 뭔들,마마무 (Mamamoo)
24,Boo,아이유
25,다툼 (Feat. 40),제리케이 (Jerry.k)
26,겁나 (Feat. 매드클라운),멜로디데이 (MelodyDay)
27,소주 한 잔,임창정
28,BAAM,모모랜드 (MOMOLAND)
29,2U,강다니엘
30,I Can't,2PM
31,Dream Night,ASTRO (아스트로)
32,아로하,쿨 (COOL)
33,가슴앓이,바비 킴
34,하이힐,박혜경
35,내 마음의 사진,송가인
36,Tears,소찬휘
37,처음사랑,유열
38,Nothing Better,브라운 아이드 소울
39,기억할게요,양파
40,어젯밤 이야기,소방차
41,슬픈 발걸음 (구두II),씨야
42,영원한 사랑,핑클 (Fin.K.L)
43,하늘땅 별땅,비비
44,체념,빅마마
45,이별이래,유열
46,비련,비비
47,응급실,izi
48,안녕 정말 안녕,엠투엠 (M To M)
49,오랜만이야,임창정
50,Flower,윤미래
51,너에게 쓰는 편지 (Feat. 린),MC몽
52,좋니,윤종신
53,욕심쟁이,심신
54,두바둡 (only u),라붐 (LABOUM)
55,Beautiful,Crush
56,내사람 (Ivy Mix),SG 워너비
57,낡은 그리움,에일리(AILEE)
58,어마어마해,모모랜드 (MOMOLAND)
59,죽도록 사랑해 (Feat. 박정현),MC몽
