song,artist,view
Ma Boy (마보이),씨스타19,198293479.17391303
심쿵해 (Heart Attack),AOA,190475417.0
NoNoNo,Apink (에이핑크),188994465.3478261
Go&Stop,ASTRO (아스트로),130918639.08695652
ONE&ONLY,ASTRO (아스트로),93473615.56521739
BAAM,모모랜드 (MOMOLAND),55200680.217391305
I Like That,씨스타,42261798.26086956
뿜뿜,모모랜드 (MOMOLAND),37925233.30434783
Starry Night,모모랜드 (MOMOLAND),30753204.625
OOH-AHH하게,TWICE (트와이스),29206632.347826086
Only one you,모모랜드 (MOMOLAND),28442922.95652174
Sweet Dream (Andante),알렉스,27276237.52173913
Running & Running,엠블랙,23081188.391304348
Never Ever,GOT7 (갓세븐),21353858.913043477
Ice Cream (Feat. Maboos),현아,18933913.652173914
Stay With Me,"찬열 (CHANYEOL), 펀치 (Punch)",16958022.95652174
Don't Stop The Music,2NE1,16912640.695652176
I Don't Care,2NE1,16457591.43478261
니가 뭔데 (Who You?),G-DRAGON,15962242.47826087
어마어마해,모모랜드 (MOMOLAND),14820334.260869564
거짓말,BIGBANG,14119755.913043479
나만 바라봐,태양,12334726.956521738
U & I,에일리(AILEE),11197866.173913043
마카롱,걸스데이,10934451.041666666
Something,걸스데이,10708459.52173913
Give It To Me,씨스타,10551461.47826087
사랑해 (Feat. 윤은혜),마이티 마우스,10321365.833333334
박수쳐,2NE1,10185025.391304348
BABY DON'T CRY,대성,9562870.652173912
You Are,GOT7 (갓세븐),9478646.0
TONIGHT,BIGBANG,9020659.739130436
Loving U (러빙유),씨스타,8775786.47826087
Hello (Feat. 다라),G-DRAGON,8466190.304347826
쎈언니,제시 (Jessi),8265925.0
Lucky,EXO,7936282.173913044
Give Love,AKMU (악뮤),7701366.739130435
아파 (Slow),2NE1,7685194.565217392
"미안해요, 고마워요",변진섭,7613708.608695652
짧은 치마 (Miniskirt),AOA,7403663.347826087
Beautiful,Crush,7242039.043478261
하지마 (Stop it),B.A.P,7172383.695652174
SHAKE IT,씨스타,7161741.347826087
About Love,Red Velvet (레드벨벳),7108623.583333333
인연,거미,6983269.608695652
HOT PINK,EXID,6894614.869565218
음 (Mmmh),카이 (KAI),6886160.304347826
짠쿵쾅,모모랜드 (MOMOLAND),6842530.130434782
별빛 바램 (Wish Upon a Star),SHINee (샤이니),6656025.2272727275
기대해,걸스데이,6588843.434782608
I Love You,AKMU (악뮤),6420826.130434782
악몽,G-DRAGON,6319199.409090909
망설이다,GOT7 (갓세븐),6285889.588235294
Lead Me,씨스타,6200541.521739131
나혼자 (Alone),씨스타,6059311.826086956
Lonely,2NE1,6040958.782608695
WE LIKE 2 PARTY,BIGBANG,5746913.478260869
노래,Zion.T,5674291.826086956
빨리 전화해 (Feat. KUSH),MOBB (MINO & BOBBY),5580195.818181818
Beautiful,Wanna One (워너원),5545022.434782608
사뿐사뿐,AOA,5460342.217391305
Mr. Chu,Apink (에이핑크),5426034.0869565215
덜덜덜,EXID,5396287.260869565
OK,딸기우유,5393565.045454546
촌스럽게 왜 이래 (You Don't Know Love),케이윌,5346943.782608695
Fiction,비스트,5318259.173913044
Look,GOT7 (갓세븐),5285108.304347826
Goodbye,라디 (Ra. D),5074026.636363637
PIPPI,투아이즈 (2EYES),4925601.0
1년 정거장,G-DRAGON,4885786.304347826
롤린 (Rollin'),브레이브걸스,4838218.434782608
나쁜손 (Feat. 버벌진트) (Naughty Hands),씨스타,4787495.956521739
Make Love (Feat. Kush),태양,4719119.708333333
전원일기 (田園日記) (Feat. Duble Sidekick & 태운),티아라,4637579.363636363
Reset (Feat. 진실 Of Mad Soul Child),타이거JK,4542316.869565218
instagram,DEAN,4459476.652173913
오랜 날 오랜 밤,AKMU (악뮤),4439743.260869565
DAY BY DAY,티아라,4393218.130434782
Tic Toc,매드클라운,4392759.478260869
가식걸,씨스타,4352687.956521739
취향저격,iKON,4349224.652173913
이상하다 참 (Feat.칸토 Of 트로이),민아 (걸스데이),4345147.642857143
BOOMERANG (부메랑),Wanna One (워너원),4342551.0869565215
I Wish,메이비 (Maybee),4305594.818181818
좋니,윤종신,4186446.2608695654
Dream (Prod. by 박근태),"수지 (SUZY), 백현 (BAEKHYUN)",4142047.3695652173
If You,에일리(AILEE),4130757.1739130435
집에 가지마,GD&TOP,4100343.1304347827
반짝반짝,BIGBANG,4098637.227272727
꽃 (Feat. Justhis) (Flowers),매드클라운,4092580.5384615385
두둠칫 (Doo Doom Chit),크레용팝,4049923.4782608696
다시 너를,"매드클라운, 김나영",4026821.086956522
핑크빛 로맨스 (Pink Romance),"케이윌, 씨스타, 보이프랜드",3944766.45
진통제,"티아라, 더 씨야, F-ve Dolls, 스피드",3933633.75
Baby Good Night,GD&TOP,3893381.0
밤 끝없는 밤,AKMU (악뮤),3864231.7083333335
FM,크레용팝,3855077.4782608696
우리 사랑했잖아,"다비치, 티아라",3808899.4782608696
Hey You,씨스타,3803164.8695652173
그 중에 그대를 만나,이선희,3754998.695652174
No Make Up,Zion.T,3754350.652173913
러브119 (Feat. MC몽),케이윌,3724827.9565217393
But I Love U,BIGBANG,3723335.695652174
LOVE IS YOU,"케이윌, 씨스타, 정기고, 매드클라운, 보이프렌드, 주영",3678176.5454545454
다툼 (Feat. 40),제리케이 (Jerry.k),3675883.0
ECLIPSE,GOT7 (갓세븐),3675155.2608695654
질투나,"거미, 에일리(AILEE)",3614176.652173913
다시 쓰고 싶어,에일리(AILEE),3570490.695652174
바람아 (Feat. 빈지노),Lim Kim,3555795.888888889
넌 너무 야해 (Feat. 긱스) (The Way You Make Me Melt),씨스타,3531149.5
Tears,소찬휘,3473451.086956522
Darling,걸스데이,3421763.565217391
Lay Back,케이윌,3396683.6086956523
오늘부터 1일 (Day 1),케이윌,3391033.086956522
지못미,iKON,3375400.6086956523
넌 is 뭔들,마마무 (Mamamoo),3369661.8695652173
아름다운 그대 (Feat. CHOIZA),Crush,3357378.277777778
Rap Star,스윙스,3337883.565217391
너나 잘해,에일리(AILEE),3302793.4782608696
혼자가 편해졌어 (Feat. 케이윌),ELSIE (은정),3302578.695652174
UN Village,백현 (BAEKHYUN),3294279.434782609
궁금해,모모랜드 (MOMOLAND),3263151.25
이름이 뭐예요?,4minute,3210820.4782608696
독기,"리쌍, 아이언",3208434.304347826
JUST U (PROD. GroovyRoom),"정세운, 식케이 (Sik-K)",3196701.272727273
아름다운 밤이야,비스트,3193337.6086956523
Hello Bubble,걸스데이,3192699.652173913
White Day,걸스데이,3187139.7916666665
가,BOBBY,3165670.695652174
Don`t Cry,더 크로스,3143455.0434782607
I Need You,"허각, 지아",3143225.217391304
진절머리 (Feat. Okasian & Dok2),빈지노 (Beenzino),3132599.5454545454
Young 20 (Prod. 이대휘),박지훈,3109932.086956522
태양의 그림자,엠씨더맥스 (M.C the MAX),3090551.4166666665
있다 없으니까 (Gone Not Around Any Longer),씨스타19,3065789.086956522
내사람 (Ivy Mix),SG 워너비,3037960.6086956523
Can't U See,손담비,3011408.9565217393
그리워하다,비투비,2999905.8260869565
I Swear,씨스타,2986689.217391304
여자 대통령,걸스데이,2944571.782608696
선물,멜로망스,2927686.8695652173
She's Gone (Feat. Kush),G-DRAGON,2871348.434782609
맘마미아,카라,2869262.913043478
소주 한 잔,임창정,2847310.75
난말야,UNI.T,2792212.0434782607
아름다워 (Beautiful) (Feat. 지코 (ZICO),C JAMM,2791765.8125
홈런 (Feat. 옥주현),MC몽,2738023.272727273
양화대교,Zion.T,2717868.1304347827
BAE,효린,2665110.125
On My Way (Feat. Zion.T),Dok2,2661890.0
아로하,쿨 (COOL),2639162.565217391
이 별,길구봉구,2601417.347826087
Kiss Me,샵,2588523.782608696
그래도 남자니까,MC몽,2583710.434782609
난 예술이야,헬로비너스,2548704.8695652173
저녁하늘,에일리(AILEE),2516956.0434782607
갈 곳이 없어,거미,2515979.3913043477
마지막 인사,BIGBANG,2508045.913043478
십년이 지나도,송승헌,2464055.913043478
링마벨 (Ring My Bell),걸스데이,2463043.1304347827
너란 봄 (Feat. 하림),정은지,2452142.8695652173
니 소식,송하예,2449178.5416666665
행복하지 말아요,엠씨더맥스 (M.C the MAX),2419984.7391304346
체념,빅마마,2411986.0
너 없인 안된다,비투비,2402205.086956522
넘쳐흘러,엠씨더맥스 (M.C the MAX),2402150.695652174
노는 게 제일 좋아 (OH YA YA YA),루나솔라 (LUNARSOLAR),2397420.1304347827
동네한바퀴 (꽃다운나이) (Feat. 칸토 Of 트로이),이선희,2393880.4
샤넬 (Feat. 박봄),MC몽,2362007.652173913
LOVE DAY,"양요섭, 정은지",2344884.5217391304
사랑이란 멜로는 없어,전상근,2339233.0434782607
잠꼬대,뉴이스트,2330985.1739130435
엄마,라디 (Ra. D),2323375.1739130435
HANDS UP,BIGBANG,2322071.8260869565
하늘바라기 (Feat. 하림),정은지,2302501.565217391
죽을 만큼 아파서 (Feat. 멜로우),MC몽,2295775.1304347827
꽃이야,JBJ,2286868.782608696
해바라기,IZ*ONE (아이즈원),2281121.434782609
I'm In Love,시크릿,2263516.347826087
술 한잔 해요,지아,2258534.347826087
"호랑나비 (Feat. Gill, 리듬파워, 김흥국)",보이비,2241978.0
사랑 범벅 (Feat. 챈슬러 of the channels),MC몽,2222816.6086956523
My Way,이수 (엠씨더맥스),2210557.695652174
Awoo,Lim Kim,2198055.9583333335
FIVE,Apink (에이핑크),2178437.8695652173
여름여름해 (Sunny Summer),여자친구 (GFRIEND),2166096.913043478
"날 봐, 귀순",대성,2165585.2608695654
In The Club,2NE1,2135670.7391304346
보름달 (Feat. Lena),선미,2113975.086956522
바람인가요,브라운 아이드 소울,2110699.8695652173
운명처럼,벤,2104385.9565217393
